3 2313 4662
0 87 4.5037866211e+03 6.5657147217e+02
1 87 4.1957260742e+03 5.5605590820e+02
0 88 5.1894960938e+03 6.6156433105e+02
1 88 4.7939262695e+03 5.3508776855e+02
0 89 5.3603559570e+03 6.5628570557e+02
1 89 4.9445805664e+03 5.2334075928e+02
0 90 5.2022172852e+03 6.5863732910e+02
1 90 4.8058676758e+03 5.3115258789e+02
0 91 5.0714477539e+03 6.7019396973e+02
1 91 4.6906245117e+03 5.4827343750e+02
0 92 4.8746601563e+03 6.9159960938e+02
1 92 4.5187509766e+03 5.7696893311e+02
0 93 4.7930405273e+03 6.8943359375e+02
1 93 4.4482270508e+03 5.7908258057e+02
0 94 4.3418261719e+03 6.9028192139e+02
1 94 4.0562062988e+03 5.9645404053e+02
0 95 5.3062255859e+03 6.8438854980e+02
1 95 4.8965380859e+03 5.5409020996e+02
0 96 4.5335283203e+03 7.0356488037e+02
1 96 4.2225473633e+03 6.0249707031e+02
0 97 5.0830434570e+03 7.0707550049e+02
1 97 4.7012802734e+03 5.8596691895e+02
0 98 4.5233374023e+03 7.0823669434e+02
1 98 4.2131401367e+03 6.0811523438e+02
0 99 5.3730659180e+03 6.9680505371e+02
1 99 4.9567700195e+03 5.6365319824e+02
0 100 5.3268164063e+03 7.0298388672e+02
1 100 4.9152651367e+03 5.7219781494e+02
0 101 4.5111240234e+03 7.1878210449e+02
1 101 4.2041635742e+03 6.1874230957e+02
0 102 4.4513149414e+03 7.2204187012e+02
1 102 4.1505068359e+03 6.2502947998e+02
0 103 4.6983623047e+03 7.2022369385e+02
1 103 4.3667978516e+03 6.1293725586e+02
0 104 5.1286088867e+03 7.1679174805e+02
1 104 4.7419042969e+03 5.9363592529e+02
0 105 4.8596259766e+03 7.1635089111e+02
1 105 4.5072885742e+03 6.0355987549e+02
0 106 4.3210717773e+03 7.4584869385e+02
1 106 4.0393254395e+03 6.5328198242e+02
0 107 4.6218691406e+03 7.4366143799e+02
1 107 4.3002812500e+03 6.3943994141e+02
0 108 4.3353242188e+03 7.4756695557e+02
1 108 4.0513195801e+03 6.5487750244e+02
0 109 4.5840698242e+03 7.3959790039e+02
1 109 4.2670751953e+03 6.3697076416e+02
0 110 5.2669755859e+03 7.6478503418e+02
1 110 4.8642148438e+03 6.3734460449e+02
0 111 4.6455278320e+03 7.7847235107e+02
1 111 4.3218925781e+03 6.7450567627e+02
0 112 4.5973994141e+03 7.6958996582e+02
1 112 4.2798530273e+03 6.6728540039e+02
0 113 4.8721621094e+03 7.7526177979e+02
1 113 4.5202729492e+03 6.6230169678e+02
0 114 4.6206376953e+03 7.6858233643e+02
1 114 4.2991435547e+03 6.6568988037e+02
0 115 4.8120639648e+03 7.7024865723e+02
1 115 4.4668710938e+03 6.5984204102e+02
0 116 4.5499951172e+03 7.7122741699e+02
